"(Benchmark_method, commit)",Add Parameter,Change Parameter Type,Change Variable Type,Move Attribute,Remove Method Annotation,Move Method,Extract And Move Method,Add Class Annotation,Change Attribute Type,Extract Method,Parameterize Variable,Add Method Annotation,Inline Method,Extract Interface,Change Return Type,Split Attribute,Replace Variable With Attribute,Remove Parameter,Inline Variable,Extract Attribute,Extract Variable,Move Source Folder,Move Class,Extract Class,Push Down Attribute,Merge Attribute,Modify Method Annotation,Extract Superclass,Pull Up Method,Pull Up Attribute,Merge Variable,Add Attribute Annotation,Change Package,sum,delta
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
