"(Benchmark_method, commit)",Move Source Folder,Move Class,Change Attribute Type,Extract Method,Add Parameter,Add Attribute Annotation,Remove Attribute Annotation,Change Parameter Type,Change Variable Type,Remove Class Annotation,Add Method Annotation,Remove Method Annotation,Move Method,Change Return Type,Move Attribute,Extract And Move Method,Extract Variable,Extract Superclass,Pull Up Attribute,Remove Parameter,Modify Method Annotation,Extract Class,Add Parameter Annotation,Inline Method,Add Class Annotation,Modify Class Annotation,Split Attribute,Modify Parameter Annotation,Extract Interface,Pull Up Method,Move And Inline Method,Merge Parameter,Remove Parameter Annotation,Extract Subclass,Push Down Method,Inline Variable,Change Package,Push Down Attribute,Merge Variable,Modify Attribute Annotation,Parameterize Variable,Extract Attribute,Replace Variable With Attribute,Merge Attribute,Replace Attribute,Reorder Parameter,sum,delta
"(zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.SpanBenchmarks.padLeft_31Chars,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.SpanBenchmarks.padLeft_1Char,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
