"(Benchmark_method, commit)",Add Parameter,Extract Variable,Extract Method,Move Method,Extract And Move Method,Change Attribute Type,Change Variable Type,Merge Parameter,Change Parameter Type,Merge Variable,Extract Class,Move Attribute,Remove Parameter,Modify Attribute Annotation,Add Class Annotation,Remove Method Annotation,Change Return Type,Move Class,Add Method Annotation,Modify Class Annotation,Push Down Method,Parameterize Variable,Modify Method Annotation,Inline Method,Extract Superclass,Extract Subclass,Push Down Attribute,Extract Attribute,Pull Up Attribute,Pull Up Method,Move And Inline Method,Inline Variable,Split Parameter,Replace Variable With Attribute,Reorder Parameter,Remove Class Annotation,Replace Attribute,Move Source Folder,Extract Interface,Change Package,Modify Parameter Annotation,Add Attribute Annotation,Split Variable,Merge Attribute,Remove Attribute Annotation,Split Attribute,Add Parameter Annotation,Remove Parameter Annotation,sum,delta
"(water.NewChunkBench.writeIntegers,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeDoublesSparse,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeLongsConstants,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeIntegersSparse,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.rowsColsRead,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.colsRowsReadWithTypeDispatch,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.util.IcedHashMapBench.writeMap,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.tree.gbm.GbmDistributionBench.trainGbmModel,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAJMHTraining.measureQuasarTraining,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeLongs,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.colsRowsRead,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeDoublesConstants,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeFloatsConstants,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.mojo.glm.GlmMultinomialMojoBench.score0_nRows,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.KeyEqualsBench.keyEquals,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.KeyEqualsBench.keyHash,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
