"(Benchmark_method, commit)",Modify Method Annotation,Extract Variable,Change Parameter Type,Extract Method,Change Return Type,Parameterize Variable,Inline Variable,Add Method Annotation,Add Class Annotation,Remove Class Annotation,Modify Class Annotation,Change Attribute Type,Add Attribute Annotation,Move Method,Modify Parameter Annotation,Change Package,Move Class,Extract And Move Method,Add Parameter,Change Variable Type,Move Attribute,Inline Method,Pull Up Attribute,Extract Class,Modify Attribute Annotation,Remove Attribute Annotation,Remove Method Annotation,Pull Up Method,sum,delta
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
