"(Benchmark_method, commit)",Extract Variable,Change Return Type,Remove Method Annotation,Add Method Annotation,Extract Method,Inline Method,Extract Class,Move Attribute,Change Attribute Type,Change Parameter Type,Change Variable Type,Modify Parameter Annotation,Move Method,Remove Parameter,Add Parameter,Extract Superclass,Pull Up Method,Pull Up Attribute,Modify Method Annotation,Modify Class Annotation,Add Parameter Annotation,Add Class Annotation,Remove Parameter Annotation,Extract Attribute,Inline Variable,Extract And Move Method,Move Class,Modify Attribute Annotation,Add Attribute Annotation,Parameterize Variable,Move And Inline Method,Remove Class Annotation,Move Source Folder,Extract Interface,Replace Variable With Attribute,Push Down Method,Change Package,Extract Subclass,Push Down Attribute,Reorder Parameter,Merge Parameter,Merge Attribute,Split Parameter,Split Attribute,Merge Variable,Remove Attribute Annotation,sum,delta
"(io.jooby.internal.ChiBenchmark._plaintext,b27765e03ad0e8247cea1452c71c255857b9eadd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,a2c8b66f79deaa3116cc4ebe5fb5f9727f7bb84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,a2c8b66f79deaa3116cc4ebe5fb5f9727f7bb84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,50318ac161e299db965be2d14491436cf08c3a3d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,50318ac161e299db965be2d14491436cf08c3a3d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,dd2700d8c7e28fba7d0e3ac4d072cb7b7c89343b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,dd2700d8c7e28fba7d0e3ac4d072cb7b7c89343b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,dd2700d8c7e28fba7d0e3ac4d072cb7b7c89343b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,bb4fc59329c80bdd9b5c4ce639f86a69e0fded08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,bb4fc59329c80bdd9b5c4ce639f86a69e0fded08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
