"(Benchmark_method, commit)",Add Parameter,Remove Parameter,Extract Method,Extract Attribute,Extract Variable,Add Method Annotation,Extract Class,Move Method,Remove Method Annotation,Pull Up Method,Move Source Folder,Change Parameter Type,Extract And Move Method,Change Attribute Type,Change Variable Type,Change Return Type,Remove Parameter Annotation,Extract Interface,Add Class Annotation,Replace Attribute,Extract Superclass,Pull Up Attribute,Remove Class Annotation,Change Package,Move Class,Replace Variable With Attribute,Inline Method,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Move Attribute,Modify Method Annotation,Inline Variable,Parameterize Variable,Split Attribute,Move And Inline Method,Add Parameter Annotation,Merge Variable,Split Parameter,Reorder Parameter,Split Variable,sum,delta
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.util.ByteFunctionHelpersBenchmarks.equals,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
