"(Benchmark_method, commit)",Change Parameter Type,Change Variable Type,Add Parameter,Change Attribute Type,Add Method Annotation,Extract Method,Move Method,Change Return Type,Merge Variable,Move Class,Inline Method,Parameterize Variable,Extract Variable,Extract Class,Remove Method Annotation,Move Attribute,Add Class Annotation,Extract And Move Method,Change Package,Pull Up Method,Remove Parameter,Inline Variable,Push Down Method,Move And Inline Method,Modify Method Annotation,Extract Superclass,Split Attribute,Pull Up Attribute,Extract Attribute,Add Parameter Annotation,Merge Parameter,Remove Class Annotation,Remove Parameter Annotation,Merge Attribute,Replace Variable With Attribute,Modify Class Annotation,Remove Attribute Annotation,Add Attribute Annotation,Split Variable,Extract Interface,Reorder Parameter,Extract Subclass,Push Down Attribute,Modify Attribute Annotation,Move Source Folder,Remove Variable Annotation,Split Parameter,Replace Attribute,Modify Parameter Annotation,Add Variable Annotation,Modify Variable Annotation,sum,delta
"(io.netty.handler.codec.http.WriteBytesVsShortOrMediumBenchmark.chainedBytes2,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeAsciiViaArrayWrapped,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.WriteBytesVsShortOrMediumBenchmark.shortInt,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.http2Iterate,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.concurrent.FastThreadLocalSlowPathBenchmark.fastThreadLocal,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http2.HpackDecoderULE128Benchmark.decodeMaxIntUsingLong,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufAllocatorBenchmark.unpooledHeapAllocAndFree,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.channel.epoll.EpollSocketChannelBenchmark.executeSingle,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.internal.PrivilegedSocketOperationsBenchmark.testWithSMNoPrivileged,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.IntObjectHashMapBenchmark.lookup,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http2.HpackUtilBenchmark.oldEquals,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.decodeStringUtf8,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeAsciiStringViaArrayWrapped,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeAsciiString,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeUtf8,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.CompositeByteBufRandomAccessBenchmark.setGetLong,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.PooledByteBufAllocatorAlignBenchmark.write,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http2.Http2FrameWriterDataBenchmark.oldWriter,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.MathOperationsBenchmark.nextIndexNoConditionals,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ByteBufUtilDecodeStringBenchmark.decodeString,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.http.HttpObjectEncoderBenchmark.contentLength,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.UnsafeByteBufBenchmark.setGetLongUnsafeByteBuf,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.AsciiStringBenchmark.hashCodeBenchCharSequenceOld,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeAscii,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.concurrent.FastThreadLocalSlowPathBenchmark.jdkThreadLocalGet,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.channel.epoll.EpollSocketChannelBenchmark.pingPong,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
