"(Benchmark_method, commit)",Extract Variable,Change Variable Type,Extract Method,Move Source Folder,Add Class Annotation,Change Parameter Type,Add Parameter,Move Class,Change Package,Inline Variable,Modify Attribute Annotation,Remove Method Annotation,Change Return Type,Change Attribute Type,Move Method,Extract And Move Method,Add Method Annotation,Modify Method Annotation,Remove Parameter,Inline Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Parameterize Variable,Extract Class,Add Attribute Annotation,Move And Inline Method,Move Attribute,Remove Class Annotation,Replace Variable With Attribute,Extract Interface,Push Down Method,Extract Subclass,Push Down Attribute,Modify Class Annotation,Extract Attribute,Replace Attribute,Merge Parameter,Split Parameter,Remove Attribute Annotation,Add Variable Annotation,Split Attribute,Reorder Parameter,Merge Variable,Modify Parameter Annotation,Add Parameter Annotation,Remove Parameter Annotation,Split Variable,Merge Attribute,Remove Variable Annotation,sum,delta
"(org.eclipse.jetty.util.thread.jmh.ReservedThreadPoolBenchmark.testFew,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.thread.jmh.ThreadPoolBenchmark.testFew,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheSimpleDateFormatBenchmark.testDateCacheFormatNow,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.DeflaterPoolBenchmark.testPool,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceSame,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheNoTickBenchmark.testDateCacheFormatNow,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.log.LogCondensePackageStringBenchmark.testCondensePackage,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.ForwardBenchmark.testTrieMethodHandle,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.B64CodeBenchmark.testJettyEncode,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testInDirect,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.B64CodeBenchmark.testJettyDecode,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.StringReplaceBenchmark.testJavaStringReplaceReduce,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.StringReplaceBenchmark.testJavaStringReplaceSame,a8a9dbbc0892c807e5893127972089316674801d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
