"(Benchmark_method, commit)",Change Parameter Type,Inline Method,Move Method,Change Return Type,Inline Variable,Change Attribute Type,Extract Variable,Extract Method,Replace Variable With Attribute,Change Variable Type,Extract Superclass,Pull Up Method,Extract And Move Method,Move Attribute,Move Class,Extract Interface,Merge Variable,Extract Class,Extract Subclass,Push Down Method,Push Down Attribute,Extract Attribute,Change Package,Pull Up Attribute,Move Source Folder,Parameterize Variable,Merge Parameter,Merge Attribute,sum,delta
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseRandomCase,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersUnannotated,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersAnnotated,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsOther,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseCopy,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOther,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsCopy,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsOther,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsRandomCase,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringNotEquals,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsRandomCase,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseSensitive,3e9705feba669c288fcd9ca9b6aa41db375217e1)",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsCopy,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseRandomCase,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersUnannotated,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersAnnotated,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsOther,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseCopy,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOther,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsCopy,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsOther,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsRandomCase,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringNotEquals,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals,db75869225ef066d8f0061826614e0f413fb81df)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
