"(Benchmark_method, commit)",Change Return Type,Extract Variable,Extract Method,Change Attribute Type,Change Parameter Type,Change Variable Type,Extract And Move Method,Extract Interface,Inline Variable,Inline Method,Move Class,Parameterize Variable,Merge Attribute,Move Attribute,Extract Class,Replace Variable With Attribute,Move Method,Extract Superclass,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Change Package,Split Attribute,Move Source Folder,Pull Up Attribute,Pull Up Method,Extract Attribute,Split Parameter,Merge Parameter,Split Variable,sum,delta
"(org.simpleflatmapper.utils.UUIDBenchMarkRead.testByteBufferRead,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkWrite.testBytesRead,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parseQuote,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parsePipe,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethodHandler,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testAsm,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testDirect,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testField,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.memoryMappedFile,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.fileChannelBytes,e636fc06f8902102827af68323d22ef6b91d4602)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
