"(Benchmark_method, commit)",Change Return Type,Extract And Move Method,Extract Method,Inline Method,Change Attribute Type,Move Method,Change Package,Move Class,Extract Attribute,Change Parameter Type,Change Variable Type,Extract Class,Inline Variable,Extract Variable,Move Attribute,Merge Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Move Source Folder,Replace Variable With Attribute,sum,delta
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,e2f0a4d8a83a41eaa984086636a3712c682307ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,e2f0a4d8a83a41eaa984086636a3712c682307ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,e2f0a4d8a83a41eaa984086636a3712c682307ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,e2f0a4d8a83a41eaa984086636a3712c682307ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,e2f0a4d8a83a41eaa984086636a3712c682307ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,e2f0a4d8a83a41eaa984086636a3712c682307ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,e2f0a4d8a83a41eaa984086636a3712c682307ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,e2f0a4d8a83a41eaa984086636a3712c682307ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,030fb8e37c4024b24fac2b5404300449a6741699)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,030fb8e37c4024b24fac2b5404300449a6741699)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,030fb8e37c4024b24fac2b5404300449a6741699)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,030fb8e37c4024b24fac2b5404300449a6741699)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
