"(Benchmark_method, commit)",Extract Variable,Change Return Type,Change Variable Type,Extract Method,Change Attribute Type,Change Parameter Type,Replace Variable With Attribute,Inline Variable,Move Attribute,Move Method,Merge Attribute,Pull Up Method,Push Down Method,Move Class,Extract Attribute,Extract Interface,Inline Method,Move Source Folder,Pull Up Attribute,Extract Class,Extract Superclass,Extract And Move Method,Parameterize Variable,Change Package,Push Down Attribute,Merge Variable,Extract Subclass,Split Parameter,Merge Parameter,Split Attribute,Split Variable,Replace Attribute,sum,delta
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.cedarsoftMapComplexCase,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.FastTypeConverterTest.typeConvertByteBufToArray,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.SlowTypeConverterTest.typeConvertByteBufToArray,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToInputStream,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.DefaultUuidGeneratorTest.benchmark,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.hashMapComplexCase,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertByteArrayToString,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.cedarsoftMapSimpleCase,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.SimpleMockTest.simpleMockTest,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.hashMapSimpleCase,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertTheSameTypes,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.LoadTypeConvertersTest.load,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.LoadTypeConvertersTest.notLoad,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToByteArray,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToInteger,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertInputStreamToString,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.camelMapComplexCase,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.ContainsIgnoreCaseTest.benchmark,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.camelMapSimpleCase,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToDocument,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertIntegerToString,52b414b553e967076a077807266a61ce5bc0e82d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.SimpleExpressionTest.simpleExpression,70ecbea68c39bc30e4bd540e2d5abe2382ffa021)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
