"(Benchmark_method, commit)",Add Parameter,Add Attribute Annotation,Remove Attribute Annotation,Extract Variable,Change Variable Type,Change Attribute Type,Inline Method,Remove Parameter,Move Class,Extract Method,Extract And Move Method,Change Parameter Type,Change Return Type,Add Method Annotation,Extract Class,Move Attribute,Parameterize Variable,Move Method,Replace Variable With Attribute,Modify Method Annotation,Remove Method Annotation,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Extract Superclass,Extract Interface,Split Attribute,Inline Variable,Remove Class Annotation,Add Class Annotation,Extract Attribute,Pull Up Attribute,Pull Up Method,Split Parameter,Merge Attribute,Change Package,Reorder Parameter,Merge Variable,Add Parameter Annotation,Remove Parameter Annotation,Modify Attribute Annotation,sum,delta
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,0c9ed77797c589e99a5d7127cca8370b5831e0a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,0c9ed77797c589e99a5d7127cca8370b5831e0a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,0c9ed77797c589e99a5d7127cca8370b5831e0a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,0c9ed77797c589e99a5d7127cca8370b5831e0a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,b398d357b28ffd618ac7cdb97d1d05b4a80f3ecf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,b398d357b28ffd618ac7cdb97d1d05b4a80f3ecf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,b398d357b28ffd618ac7cdb97d1d05b4a80f3ecf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.curl,b398d357b28ffd618ac7cdb97d1d05b4a80f3ecf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.PearlDiverBenchmark.search,b398d357b28ffd618ac7cdb97d1d05b4a80f3ecf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.pairCurl,b398d357b28ffd618ac7cdb97d1d05b4a80f3ecf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,b398d357b28ffd618ac7cdb97d1d05b4a80f3ecf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,b398d357b28ffd618ac7cdb97d1d05b4a80f3ecf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,89f8c3ea366f2155a0f85d1012bffbd689de2a7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,89f8c3ea366f2155a0f85d1012bffbd689de2a7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,89f8c3ea366f2155a0f85d1012bffbd689de2a7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.curl,89f8c3ea366f2155a0f85d1012bffbd689de2a7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.PearlDiverBenchmark.search,89f8c3ea366f2155a0f85d1012bffbd689de2a7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.pairCurl,89f8c3ea366f2155a0f85d1012bffbd689de2a7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,89f8c3ea366f2155a0f85d1012bffbd689de2a7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,89f8c3ea366f2155a0f85d1012bffbd689de2a7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,1553514f19cbfcd4147df2897ed0a686cc60bd91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,1553514f19cbfcd4147df2897ed0a686cc60bd91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,1553514f19cbfcd4147df2897ed0a686cc60bd91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,1553514f19cbfcd4147df2897ed0a686cc60bd91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,1553514f19cbfcd4147df2897ed0a686cc60bd91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,b11798fdc5402356c72e56e39a7f742915b19d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,b11798fdc5402356c72e56e39a7f742915b19d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,b11798fdc5402356c72e56e39a7f742915b19d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
