"(Benchmark_method, commit)",Change Return Type,Change Parameter Type,Push Down Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Method,Extract Variable,Inline Variable,Change Attribute Type,Extract Class,Move Method,Change Variable Type,Extract And Move Method,Move Class,Extract Interface,Move Attribute,Inline Method,Change Package,Parameterize Variable,Move Source Folder,Extract Attribute,Push Down Attribute,Extract Subclass,Replace Variable With Attribute,Merge Parameter,sum,delta
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.counters.CountersBenchmark.rw,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.collections.ConcurrentSetThroughput.rw,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArg,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.latency.spsc.RingCqBurstRoundTripWithGroups.ring,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArg,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.latency.MpqBurstCost.burstCost,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.collections.SetOps.add,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg,511665c89ce7c2729b0dcfeeb2183908e87e417f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
