"(Benchmark_method, commit)",Change Return Type,Change Variable Type,Extract Method,Change Parameter Type,Move Attribute,Change Attribute Type,Extract Variable,Move Class,Extract Interface,Inline Variable,Move Method,Extract Class,Parameterize Variable,Inline Method,Extract Superclass,Pull Up Method,Merge Parameter,Change Package,Extract And Move Method,Pull Up Attribute,Merge Variable,Replace Variable With Attribute,Extract Attribute,Move Source Folder,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,Split Parameter,Split Variable,Split Attribute,sum,delta
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,71193ada1054999aaff13a3025cbac1520589f53)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.language.resource.parsers.expression.ExpressionBenchmark.testParser,71193ada1054999aaff13a3025cbac1520589f53)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,016acc54952ac6ce921b528b89d2c12bed01b02c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,016acc54952ac6ce921b528b89d2c12bed01b02c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulPanda,016acc54952ac6ce921b528b89d2c12bed01b02c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulJava,016acc54952ac6ce921b528b89d2c12bed01b02c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,016acc54952ac6ce921b528b89d2c12bed01b02c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,016acc54952ac6ce921b528b89d2c12bed01b02c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,016acc54952ac6ce921b528b89d2c12bed01b02c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,c2fa67a9ff7e519c0564f3e5ad042c035fd04f7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,c2fa67a9ff7e519c0564f3e5ad042c035fd04f7a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
