"(Benchmark_method, commit)",Extract Method,Inline Method,Change Attribute Type,Change Variable Type,Change Return Type,Change Parameter Type,Move Attribute,Move Class,Split Attribute,Extract Class,Move Method,Extract Variable,Pull Up Method,Extract And Move Method,Merge Parameter,Extract Superclass,Inline Variable,Move Source Folder,Change Package,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Parameterize Variable,Extract Attribute,Replace Variable With Attribute,Merge Attribute,Extract Interface,Pull Up Attribute,Replace Attribute,sum,delta
"(zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.EndpointBenchmarks.parseIpv6_bytes,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.SpanBenchmarks.serialize_kryo,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.EndpointBenchmarks.parseIpv4_literal,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.SpanBenchmarks.padLeft_31Chars,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.WriteBufferBenchmarks.writeLongLe,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,a4d145dfcb27e763d4593f6f5cb5a6d7df83c1be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
