"(Benchmark_method, commit)",Change Parameter Type,Extract Class,Move Attribute,Extract And Move Method,Extract Method,Move Class,Extract Superclass,Move Method,Extract Variable,Inline Method,Change Return Type,Change Attribute Type,Change Variable Type,Inline Variable,Pull Up Attribute,Push Down Method,Parameterize Variable,Pull Up Method,Replace Variable With Attribute,Extract Interface,Extract Subclass,Push Down Attribute,Change Package,Extract Attribute,Merge Parameter,Merge Attribute,Merge Variable,Split Parameter,Split Attribute,Replace Attribute,Move Source Folder,Split Variable,sum,delta
"(io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.viaStringSmall,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertx,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMiss,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.nettySmall,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.directLarge,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size1,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMiss,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.directSmall,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMiss,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size2,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size8,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.viaStringLarge,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.viaStringSmall,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.netty,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size16,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.nettySmall,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMatch,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.viaStringLarge,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
