"(Benchmark_method, commit)",Extract Variable,Change Variable Type,Move Method,Merge Parameter,Extract Superclass,Pull Up Method,Extract Method,Pull Up Attribute,Change Parameter Type,Move Attribute,Change Return Type,Change Attribute Type,Extract Attribute,Merge Attribute,Inline Variable,Extract And Move Method,Extract Class,Replace Variable With Attribute,Inline Method,Parameterize Variable,Merge Variable,Move Class,Split Attribute,Extract Interface,Extract Subclass,Push Down Method,Push Down Attribute,Move Source Folder,Split Variable,Split Parameter,Replace Attribute,Change Package,sum,delta
"(io.netty.handler.codec.http2.HpackEncoderBenchmark.encode,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.util.ResourceLeakDetectorRecordBenchmark.record,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.HeapByteBufBenchmark.getShort,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.HeapByteBufBenchmark.getLongUnsafe,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.concurrent.FastThreadLocalSlowPathBenchmark.jdkThreadLocalGet,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeUtf8ViaArray,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.HttpMethodMapBenchmark.newMapUnknownMethods,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.HttpMethodMapBenchmark.newMapKnownMethods,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ByteBufNoCleanerChangeCapacityBenchmark.capacityChange,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeAsciiViaArrayWrapped,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.SwappedByteBufBenchmark.unsafeSwappedByteBufSetInt,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.WriteBytesVsShortOrMediumBenchmark.byteArray2,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
