"(Benchmark_method, commit)",Move Source Folder,Extract Method,Change Variable Type,Parameterize Variable,Extract Variable,Inline Method,Change Attribute Type,Extract Class,Move Attribute,Change Return Type,Extract And Move Method,Change Parameter Type,Move Class,Extract Superclass,Pull Up Method,Inline Variable,Change Package,Pull Up Attribute,Merge Parameter,Merge Variable,Move Method,Replace Variable With Attribute,Split Variable,Extract Subclass,Push Down Method,Push Down Attribute,Extract Interface,sum,delta
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,5e2fdeed0dc72cf7022993ad9877f7bb8e011e14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,5e2fdeed0dc72cf7022993ad9877f7bb8e011e14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,5e2fdeed0dc72cf7022993ad9877f7bb8e011e14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,5e2fdeed0dc72cf7022993ad9877f7bb8e011e14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,5e2fdeed0dc72cf7022993ad9877f7bb8e011e14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,089a59f98076d64b3086b98366ebbf0d2114769b)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,089a59f98076d64b3086b98366ebbf0d2114769b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,089a59f98076d64b3086b98366ebbf0d2114769b)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,089a59f98076d64b3086b98366ebbf0d2114769b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,089a59f98076d64b3086b98366ebbf0d2114769b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,089a59f98076d64b3086b98366ebbf0d2114769b)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,089a59f98076d64b3086b98366ebbf0d2114769b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,089a59f98076d64b3086b98366ebbf0d2114769b)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,bf9d292871c9c56d14353a6f321f7b221b15ba7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,bf9d292871c9c56d14353a6f321f7b221b15ba7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,bf9d292871c9c56d14353a6f321f7b221b15ba7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,bf9d292871c9c56d14353a6f321f7b221b15ba7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,bf9d292871c9c56d14353a6f321f7b221b15ba7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,bf9d292871c9c56d14353a6f321f7b221b15ba7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,bf9d292871c9c56d14353a6f321f7b221b15ba7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,bf9d292871c9c56d14353a6f321f7b221b15ba7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,7b3acf239a0fc90e89e3763aad9bd744f93ccd2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,7b3acf239a0fc90e89e3763aad9bd744f93ccd2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,7b3acf239a0fc90e89e3763aad9bd744f93ccd2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,7b3acf239a0fc90e89e3763aad9bd744f93ccd2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,7b3acf239a0fc90e89e3763aad9bd744f93ccd2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,7b3acf239a0fc90e89e3763aad9bd744f93ccd2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,7b3acf239a0fc90e89e3763aad9bd744f93ccd2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,7b3acf239a0fc90e89e3763aad9bd744f93ccd2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,381142e6cf76925d874d7b1921eb44086b752e83)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,381142e6cf76925d874d7b1921eb44086b752e83)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,381142e6cf76925d874d7b1921eb44086b752e83)",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,381142e6cf76925d874d7b1921eb44086b752e83)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,381142e6cf76925d874d7b1921eb44086b752e83)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,381142e6cf76925d874d7b1921eb44086b752e83)",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,381142e6cf76925d874d7b1921eb44086b752e83)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,381142e6cf76925d874d7b1921eb44086b752e83)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,fb825f2ce1a0d40ea8b1a5612ccdbe76d15bc3ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,fb825f2ce1a0d40ea8b1a5612ccdbe76d15bc3ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,fb825f2ce1a0d40ea8b1a5612ccdbe76d15bc3ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,fb825f2ce1a0d40ea8b1a5612ccdbe76d15bc3ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,fb825f2ce1a0d40ea8b1a5612ccdbe76d15bc3ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,fb825f2ce1a0d40ea8b1a5612ccdbe76d15bc3ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,fb825f2ce1a0d40ea8b1a5612ccdbe76d15bc3ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,fb825f2ce1a0d40ea8b1a5612ccdbe76d15bc3ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,b6db37ee3ad7990809425da225c413defa4ce786)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,b6db37ee3ad7990809425da225c413defa4ce786)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,b6db37ee3ad7990809425da225c413defa4ce786)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,b6db37ee3ad7990809425da225c413defa4ce786)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,b6db37ee3ad7990809425da225c413defa4ce786)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,b6db37ee3ad7990809425da225c413defa4ce786)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,b6db37ee3ad7990809425da225c413defa4ce786)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,b6db37ee3ad7990809425da225c413defa4ce786)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
