"(Benchmark_method, commit)",Move Class,Change Attribute Type,Change Parameter Type,Inline Variable,Change Return Type,Change Variable Type,Extract Superclass,Move Source Folder,Extract Method,Pull Up Attribute,Pull Up Method,Extract Attribute,Extract And Move Method,Move Method,Parameterize Variable,Extract Variable,Change Package,Replace Variable With Attribute,Inline Method,Move Attribute,Merge Variable,Merge Parameter,Extract Class,Split Attribute,Extract Interface,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,sum,delta
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,62328bf137837a7129898c040e4c4d233ed4cb80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,9c25a192b74dd578ff09578569b331b0f985ec42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,0a659c015959f381b442e9621c11370eec8bfbd3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,0a659c015959f381b442e9621c11370eec8bfbd3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,050c192dd73aa0703ef4395c208e3026d189b4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,050c192dd73aa0703ef4395c208e3026d189b4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,b66f314b3c2eb38b26c1d28f30890e0db8da9522)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,4ba3213338851aa75eb0cbba76779ab450205d29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,4ba3213338851aa75eb0cbba76779ab450205d29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,0d60e602438696b90d22ab76230d9aa1460fb96d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,0d60e602438696b90d22ab76230d9aa1460fb96d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,f5757dbd9fabd66e54138601dd979399b1ffa6d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,2c4cb832590037f9ae5781639aebd827fed5c6dd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,6e9e803e736a331993e6b4391f71f6cd5bbd55a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,6e9e803e736a331993e6b4391f71f6cd5bbd55a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
